id,score,attempts,correct_count,wrong_count,avg_response_ms,last_response_ms,last_delta,updated_at
ko-0332,256,1,1,0,31487,31487,6,2026-05-25T13:54:09.483Z
ko-0333,278,1,1,0,1969,1969,28,2026-05-25T20:18:06.522Z
ko-0334,236,2,1,1,6024,7984,6,2026-05-25T13:28:58.896Z
ko-0337,256,1,1,0,13390,13390,6,2026-05-25T13:49:18.511Z
ko-0339,311,2,2,0,1118,1,34,2026-05-25T13:48:04.044Z
ko-0341,276,1,1,0,2407,2407,26,2026-05-25T13:24:10.019Z
ko-0342,271,1,1,0,3819,3819,21,2026-05-25T20:31:47.141Z
ko-0343,273,2,2,0,6549,6924,10,2026-05-25T20:22:14.563Z
ko-0344,279,1,1,0,1733,1733,29,2026-05-25T14:29:25.857Z
ko-0347,281,1,1,0,1193,1193,31,2026-05-25T20:25:43.668Z
ko-0348,274,1,1,0,3199,3199,24,2026-05-25T13:28:10.435Z
ko-0349,278,1,1,0,2049,2049,28,2026-05-25T13:50:11.537Z
ko-0351,230,1,0,1,3380,3380,-20,2026-05-25T20:16:23.244Z
ko-0352,230,1,0,1,5212,5212,-20,2026-05-25T14:44:29.762Z
ko-0353,251,2,1,1,2300,713,-20,2026-05-25T20:22:17.914Z
ko-0354,294,2,2,0,3601,2181,27,2026-05-25T14:43:59.437Z
ko-0357,281,2,2,0,6004,2938,25,2026-05-25T20:34:06.857Z
ko-0360,270,1,1,0,4071,4071,20,2026-05-25T13:46:43.330Z
ko-0361,256,1,1,0,8716,8716,6,2026-05-25T20:17:31.807Z
ko-0363,230,1,0,1,2280,2280,-20,2026-05-25T14:28:54.535Z
ko-0364,303,2,2,0,2436,1939,28,2026-05-25T14:44:02.034Z
ko-0365,295,2,2,0,3507,1358,30,2026-05-25T20:19:25.836Z
ko-0366,269,1,1,0,4339,4339,19,2026-05-25T13:22:02.971Z
ko-0367,297,2,2,0,3223,3730,22,2026-05-25T14:43:15.607Z
ko-0369,259,1,1,0,7274,7274,9,2026-05-25T20:15:48.046Z
ko-0370,281,1,1,0,1269,1269,31,2026-05-25T20:14:53.650Z
ko-0371,269,1,1,0,4314,4314,19,2026-05-25T13:48:52.169Z
ko-0372,295,2,2,0,3456,2310,27,2026-05-25T20:16:18.706Z
ko-0374,260,1,1,0,6810,6810,10,2026-05-25T20:22:31.622Z
ko-0376,261,1,1,0,6751,6751,11,2026-05-25T13:42:14.604Z
ko-0377,241,2,1,1,5219,3809,-20,2026-05-25T20:21:47.055Z
ko-0378,310,2,2,0,1405,376,34,2026-05-25T20:31:49.108Z
ko-0380,313,2,2,0,1082,394,34,2026-05-25T20:26:23.816Z
ko-0381,230,1,0,1,10543,10543,-20,2026-05-25T14:29:55.537Z
ko-0382,280,1,1,0,1388,1388,30,2026-05-25T13:21:57.940Z
ko-0384,285,3,2,1,2878,2564,26,2026-05-25T20:28:18.076Z
ko-0389,275,1,1,0,2860,2860,25,2026-05-25T14:28:27.549Z
ko-0391,276,1,1,0,2574,2574,26,2026-05-25T15:22:39.150Z
ko-0392,273,1,1,0,3365,3365,23,2026-05-25T20:33:31.880Z
ko-0394,264,2,1,1,1,1,34,2026-05-25T13:42:26.762Z
ko-0395,246,2,1,1,15228,25260,-20,2026-05-25T20:29:44.407Z
ko-0396,300,2,2,0,2819,1749,29,2026-05-25T20:21:01.245Z
ko-0399,275,1,1,0,2673,2673,25,2026-05-25T13:50:35.128Z
ko-0402,294,2,2,0,3724,4020,21,2026-05-25T13:42:07.184Z
ko-0403,300,2,2,0,2879,2824,25,2026-05-25T20:20:33.119Z
ko-0405,275,6,3,3,902,687,33,2026-05-25T20:31:51.431Z
ko-0406,299,2,2,0,2941,2842,25,2026-05-25T20:20:55.329Z
ko-0407,304,2,2,0,2231,1697,29,2026-05-25T20:17:49.855Z
ko-0409,267,1,1,0,4895,4895,17,2026-05-25T14:14:21.662Z
ko-0410,266,1,1,0,5148,5148,16,2026-05-25T20:18:30.689Z
ko-0413,282,2,2,0,5173,4922,17,2026-05-25T20:34:23.533Z
ko-0415,260,1,1,0,6971,6971,10,2026-05-25T14:42:28.132Z
ko-0417,278,4,3,1,10085,3287,23,2026-05-25T20:26:18.068Z
ko-0418,247,2,1,1,6514,8104,-20,2026-05-25T20:24:24.396Z
ko-0420,259,1,1,0,7315,7315,9,2026-05-25T14:14:10.962Z
ko-0422,318,4,4,0,5009,3996,21,2026-05-25T20:15:39.142Z
ko-0423,288,2,2,0,4552,1240,31,2026-05-25T20:31:22.481Z
ko-0425,307,2,2,0,1616,3231,23,2026-05-25T13:41:52.083Z
ko-0426,230,1,0,1,23817,23817,-20,2026-05-25T20:29:09.243Z
ko-0427,289,2,2,0,4212,1338,30,2026-05-25T13:27:31.359Z
ko-0428,275,2,2,0,8643,4584,19,2026-05-25T20:25:39.840Z
ko-0431,301,2,2,0,2744,683,33,2026-05-25T20:32:05.049Z
ko-0433,278,1,1,0,1939,1939,28,2026-05-25T15:22:33.789Z
ko-0436,278,1,1,0,1942,1942,28,2026-05-25T14:25:10.787Z
ko-0437,276,1,1,0,2635,2635,26,2026-05-25T20:16:55.072Z
ko-0438,264,2,1,1,1,1,34,2026-05-25T13:23:46.469Z
ko-0439,311,3,3,0,4675,10116,6,2026-05-25T20:32:26.053Z
ko-0440,296,2,2,0,3402,4974,17,2026-05-25T20:27:58.558Z
ko-0441,281,2,2,0,8163,2792,25,2026-05-25T20:32:43.827Z
ko-0442,265,1,1,0,5429,5429,15,2026-05-25T20:14:49.810Z
ko-0445,290,2,2,0,4256,4565,19,2026-05-25T20:28:13.560Z
ko-0446,278,1,1,0,1920,1920,28,2026-05-25T13:48:39.214Z
ko-0450,256,1,1,0,10362,10362,6,2026-05-25T13:45:44.405Z
ko-0451,276,1,1,0,2633,2633,26,2026-05-25T13:26:15.976Z
ko-0452,275,3,2,1,5639,2755,25,2026-05-25T20:18:22.510Z
ko-0453,230,1,0,1,5212,5212,-20,2026-05-25T20:17:56.978Z
ko-0455,268,1,1,0,4743,4743,18,2026-05-25T20:14:35.318Z
ko-0457,276,2,2,0,6605,4208,20,2026-05-25T14:42:45.446Z
ko-0458,276,1,1,0,2641,2641,26,2026-05-25T20:25:34.343Z
ko-0459,265,2,2,0,12537,7295,9,2026-05-25T14:26:55.238Z
ko-0463,267,1,1,0,5068,5068,17,2026-05-25T13:25:04.285Z
ko-0464,273,1,1,0,3285,3285,23,2026-05-25T20:30:47.010Z
ko-0465,298,2,2,0,3085,2214,27,2026-05-25T20:31:58.157Z
